record_id,job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,source_dataset
CL009421,AI09421,AI Architect,123061,USD,MI,CT,Norway,S,Norway,0,"Data Visualization, Kubernetes, Python, R, Java",Master,2,Healthcare,2024-04-06,2024-06-13,2485,8.2,Digital Transformation LLC,dataset_1
CL009422,AI09422,Principal Data Scientist,92922,USD,EN,FT,Switzerland,S,Switzerland,100,"Hadoop, Python, Spark, Scala, TensorFlow",Bachelor,0,Transportation,2025-02-20,2025-04-02,2340,7.2,DataVision Ltd,dataset_1
CL009423,AI09423,AI Architect,92015,USD,SE,PT,Austria,S,Austria,100,"Scala, Java, Python",Associate,5,Retail,2024-10-30,2024-12-26,2384,8.0,Advanced Robotics,dataset_1
CL009424,AI09424,AI Product Manager,88007,USD,MI,PT,United States,S,United States,100,"SQL, Python, TensorFlow, Statistics, Git",Bachelor,2,Education,2024-03-31,2024-04-14,2274,7.4,Digital Transformation LLC,dataset_1
CL009425,AI09425,Robotics Engineer,41583,USD,EN,CT,Japan,M,Japan,100,"Spark, MLOps, Linux",PhD,0,Transportation,2024-05-28,2024-07-24,2094,9.7,TechCorp Inc,dataset_1
CL009426,AI09426,Data Analyst,86493,USD,MI,FT,Japan,L,Japan,0,"Hadoop, R, Scala, Java, NLP",PhD,2,Retail,2024-07-05,2024-09-05,2168,8.5,Quantum Computing Inc,dataset_1
CL009427,AI09427,Machine Learning Engineer,136008,USD,SE,FL,Singapore,M,Singapore,0,"Docker, TensorFlow, Tableau, GCP, SQL",Bachelor,6,Manufacturing,2025-02-14,2025-04-18,1021,9.7,Advanced Robotics,dataset_1
CL009428,AI09428,AI Architect,65100,USD,MI,CT,Japan,M,Denmark,50,"PyTorch, TensorFlow, Python",PhD,3,Automotive,2024-04-10,2024-05-12,2027,8.9,Smart Analytics,dataset_1
CL009429,AI09429,Deep Learning Engineer,183904,USD,SE,CT,Denmark,M,Denmark,100,"GCP, Statistics, Data Visualization, Spark",Bachelor,7,Telecommunications,2024-06-26,2024-07-13,1398,6.8,AI Innovations,dataset_1
CL009430,AI09430,NLP Engineer,67150,USD,SE,FL,Japan,S,Ireland,50,"Scala, Kubernetes, SQL, GCP",PhD,9,Retail,2024-11-08,2024-11-24,898,6.2,Cloud AI Solutions,dataset_1
CL009431,AI09431,AI Software Engineer,77490,USD,MI,FL,China,M,Japan,100,"Java, Python, Data Visualization, Linux",Master,2,Automotive,2024-10-22,2024-12-19,1852,6.7,Predictive Systems,dataset_1
CL009432,AI09432,Computer Vision Engineer,75675,USD,EN,FL,United States,L,United States,0,"Python, Statistics, Spark",Master,0,Consulting,2024-09-19,2024-11-22,1640,5.4,Quantum Computing Inc,dataset_1
CL009433,AI09433,Data Scientist,131039,USD,EX,PT,Australia,S,Australia,50,"Git, Java, Python, TensorFlow, Deep Learning",Master,16,Telecommunications,2025-01-18,2025-03-01,1716,9.9,Quantum Computing Inc,dataset_1
CL009434,AI09434,AI Consultant,144855,USD,SE,CT,Switzerland,M,Sweden,0,"Docker, R, MLOps",PhD,8,Finance,2024-09-25,2024-11-06,1035,6.4,DataVision Ltd,dataset_1
CL009435,AI09435,NLP Engineer,73729,USD,EN,FL,Australia,L,United States,100,"Docker, Kubernetes, Hadoop, Linux",Master,1,Retail,2024-04-05,2024-05-12,1864,6.0,Predictive Systems,dataset_1
CL009436,AI09436,AI Research Scientist,122975,USD,EX,PT,Australia,S,United Kingdom,0,"Hadoop, Spark, Python, Docker, Statistics",PhD,16,Energy,2025-01-04,2025-01-26,1631,7.3,AI Innovations,dataset_1
CL009437,AI09437,Robotics Engineer,187681,USD,EX,FL,Norway,M,Norway,100,"R, Data Visualization, SQL, GCP",PhD,18,Transportation,2025-02-20,2025-04-09,2321,7.3,Future Systems,dataset_1
CL009438,AI09438,Machine Learning Researcher,167838,USD,SE,CT,Norway,S,Norway,50,"MLOps, Spark, Python",Bachelor,9,Healthcare,2024-12-22,2025-01-18,1938,9.0,Algorithmic Solutions,dataset_1
CL009439,AI09439,Data Scientist,40484,USD,EN,CT,Ireland,S,Ireland,50,"Python, NLP, Linux, Git",Associate,1,Media,2024-12-01,2025-02-09,2079,9.9,Cognitive Computing,dataset_1
CL009440,AI09440,Research Scientist,259480,USD,EX,PT,Denmark,S,Japan,0,"Computer Vision, Python, MLOps, Spark, TensorFlow",PhD,15,Transportation,2024-04-05,2024-06-17,850,8.1,Cognitive Computing,dataset_1
CL009441,AI09441,Head of AI,121731,EUR,SE,PT,Germany,S,Canada,0,"Kubernetes, Python, TensorFlow, Computer Vision",Associate,8,Finance,2024-08-21,2024-09-23,1569,9.1,Neural Networks Co,dataset_1
CL009442,AI09442,Machine Learning Researcher,301737,USD,EX,PT,Denmark,L,Denmark,0,"Deep Learning, GCP, Python, Docker",PhD,11,Finance,2024-05-27,2024-07-13,2398,9.2,DataVision Ltd,dataset_1
CL009443,AI09443,Robotics Engineer,52790,USD,MI,FL,Ireland,M,Ireland,100,"Tableau, Data Visualization, Python",PhD,4,Energy,2025-01-06,2025-02-10,560,5.4,AI Innovations,dataset_1
CL009444,AI09444,AI Research Scientist,52956,USD,EN,FL,India,M,India,50,"Scala, MLOps, GCP",Master,1,Healthcare,2024-01-25,2024-03-13,505,8.1,TechCorp Inc,dataset_1
CL009445,AI09445,Robotics Engineer,207995,EUR,EX,FT,France,M,France,50,"Python, Git, Java",PhD,18,Finance,2024-07-17,2024-09-08,1846,7.5,Autonomous Tech,dataset_1
CL009446,AI09446,Data Scientist,69639,USD,EN,FL,United States,L,Australia,50,"Data Visualization, NLP, Tableau, SQL, Azure",Master,1,Energy,2024-02-04,2024-02-26,739,6.7,Digital Transformation LLC,dataset_1
CL009447,AI09447,Data Scientist,323188,USD,EX,PT,United States,L,United States,100,"SQL, R, PyTorch",Bachelor,16,Automotive,2024-12-25,2025-02-22,1715,9.1,Cloud AI Solutions,dataset_1
CL009448,AI09448,NLP Engineer,50173,USD,EN,FL,Austria,M,Israel,100,"Spark, Computer Vision, Data Visualization, AWS",PhD,1,Automotive,2025-01-19,2025-02-14,2399,7.4,DataVision Ltd,dataset_1
CL009449,AI09449,Computer Vision Engineer,111576,USD,EX,FT,South Korea,S,South Korea,50,"Linux, Python, Computer Vision, Scala",Master,12,Manufacturing,2024-09-06,2024-10-14,1737,6.9,Cloud AI Solutions,dataset_1
CL009450,AI09450,Head of AI,108649,USD,MI,FT,Denmark,S,Denmark,50,"AWS, Hadoop, Statistics",Bachelor,3,Government,2025-02-14,2025-04-18,693,6.6,Algorithmic Solutions,dataset_1
CL009451,AI09451,Data Engineer,147094,USD,EX,FL,Sweden,S,Switzerland,0,"SQL, Kubernetes, Azure, Data Visualization",Master,10,Transportation,2024-10-03,2024-12-15,1329,9.0,Future Systems,dataset_1
CL009452,AI09452,AI Software Engineer,70203,USD,SE,CT,Austria,S,Austria,100,"TensorFlow, Python, Tableau, Statistics, Kubernetes",Bachelor,7,Government,2024-02-05,2024-04-16,2293,5.3,Quantum Computing Inc,dataset_1
CL009453,AI09453,Robotics Engineer,46621,USD,EN,CT,Austria,S,Austria,0,"Git, Deep Learning, Python, Scala, Azure",Associate,1,Retail,2024-12-17,2025-02-19,2260,8.9,Cognitive Computing,dataset_1
CL009454,AI09454,Principal Data Scientist,81527,USD,MI,FL,Sweden,M,Sweden,100,"Spark, SQL, Python, Mathematics, Kubernetes",Master,4,Real Estate,2024-05-08,2024-07-10,2336,9.7,Future Systems,dataset_1
CL009455,AI09455,Head of AI,39764,USD,EN,PT,South Korea,S,Switzerland,50,"TensorFlow, R, Tableau, Scala, PyTorch",Bachelor,1,Transportation,2024-06-12,2024-08-02,2088,7.5,Autonomous Tech,dataset_1
CL009456,AI09456,AI Architect,73276,USD,MI,CT,South Korea,M,South Korea,0,"SQL, PyTorch, Statistics, Deep Learning, Data Visualization",PhD,4,Technology,2024-11-02,2024-11-28,1689,6.9,TechCorp Inc,dataset_1
CL009457,AI09457,Autonomous Systems Engineer,116356,USD,EX,FL,Israel,S,Israel,50,"R, GCP, Docker, Linux, Kubernetes",PhD,18,Automotive,2025-02-14,2025-03-04,1116,5.9,Predictive Systems,dataset_1
CL009458,AI09458,Data Scientist,53850,USD,EN,PT,Canada,M,Canada,50,"SQL, Kubernetes, Scala, Docker, Statistics",Master,1,Energy,2024-12-30,2025-02-15,1233,9.4,Predictive Systems,dataset_1
CL009459,AI09459,Research Scientist,99506,EUR,MI,PT,France,L,France,100,"Kubernetes, Mathematics, PyTorch, Azure, Java",Associate,2,Real Estate,2025-04-15,2025-05-09,2459,9.4,Cloud AI Solutions,dataset_1
CL009460,AI09460,Data Analyst,94045,USD,MI,PT,Singapore,M,Singapore,100,"TensorFlow, Linux, Docker",Master,3,Automotive,2024-06-19,2024-08-20,1705,7.4,DataVision Ltd,dataset_1
CL009461,AI09461,Machine Learning Researcher,114686,GBP,SE,FT,United Kingdom,S,United Kingdom,50,"Java, Kubernetes, MLOps",PhD,8,Government,2024-12-01,2025-01-09,2339,6.9,Quantum Computing Inc,dataset_1
CL009462,AI09462,Data Scientist,64615,USD,MI,PT,Israel,S,Israel,0,"Python, GCP, Deep Learning, Git, Tableau",Associate,4,Automotive,2024-07-26,2024-08-14,568,9.2,Predictive Systems,dataset_1
CL009463,AI09463,AI Research Scientist,134994,USD,MI,CT,Norway,L,Norway,100,"Deep Learning, Kubernetes, R, AWS, Spark",Master,3,Energy,2024-11-18,2025-01-08,2087,6.6,Cognitive Computing,dataset_1
CL009464,AI09464,ML Ops Engineer,68480,USD,SE,FL,Israel,S,China,0,"Linux, R, Scala",Bachelor,5,Media,2025-03-16,2025-05-20,1149,8.0,Predictive Systems,dataset_1
CL009465,AI09465,Principal Data Scientist,240603,USD,EX,FT,Sweden,L,Sweden,100,"TensorFlow, Mathematics, Linux, PyTorch",PhD,15,Retail,2024-01-21,2024-03-16,743,7.5,Algorithmic Solutions,dataset_1
CL009466,AI09466,Principal Data Scientist,50884,USD,EN,PT,Finland,L,Japan,50,"GCP, Hadoop, Docker",Associate,0,Energy,2025-03-03,2025-03-18,1668,7.6,Predictive Systems,dataset_1
CL009467,AI09467,Principal Data Scientist,50723,USD,EN,CT,Sweden,S,Sweden,0,"Scala, Python, NLP",Master,0,Education,2024-02-20,2024-03-12,1063,6.8,Digital Transformation LLC,dataset_1
CL009468,AI09468,Research Scientist,107073,USD,SE,CT,Austria,L,Austria,50,"Scala, SQL, TensorFlow",Bachelor,9,Energy,2025-04-04,2025-06-07,990,5.5,Advanced Robotics,dataset_1
CL009469,AI09469,AI Software Engineer,72396,USD,SE,FL,China,M,China,100,"SQL, Azure, R, GCP, Spark",Associate,8,Education,2024-04-08,2024-04-23,1050,9.5,Predictive Systems,dataset_1
CL009470,AI09470,AI Product Manager,90199,USD,EX,PT,Ireland,S,Ireland,100,"Statistics, TensorFlow, PyTorch",PhD,19,Retail,2024-02-15,2024-04-11,1348,6.9,Advanced Robotics,dataset_1
CL009471,AI09471,ML Ops Engineer,38590,USD,EN,PT,Japan,S,India,0,"Scala, R, Java, NLP, Azure",Master,1,Telecommunications,2024-03-24,2024-05-30,1969,6.1,Cognitive Computing,dataset_1
CL009472,AI09472,Data Engineer,89214,USD,MI,CT,United States,M,United States,100,"NLP, Azure, Data Visualization",Bachelor,4,Consulting,2024-04-06,2024-05-16,2459,8.6,DataVision Ltd,dataset_1
CL009473,AI09473,AI Research Scientist,67804,USD,MI,FL,India,L,India,100,"Computer Vision, Spark, MLOps",Master,4,Media,2025-03-13,2025-04-15,1737,5.5,Digital Transformation LLC,dataset_1
CL009474,AI09474,AI Product Manager,71000,USD,SE,PT,Ireland,S,Singapore,50,"Kubernetes, Docker, Python",Bachelor,5,Real Estate,2025-01-03,2025-03-03,2491,9.6,Predictive Systems,dataset_1
CL009475,AI09475,Autonomous Systems Engineer,139500,USD,EX,FL,India,S,Ireland,100,"PyTorch, Git, Data Visualization, Computer Vision, Deep Learning",Bachelor,15,Energy,2024-11-25,2024-12-10,2364,9.3,Predictive Systems,dataset_1
CL009476,AI09476,Research Scientist,186704,USD,EX,FL,Australia,M,Australia,50,"Mathematics, Scala, Docker, MLOps",PhD,18,Automotive,2024-09-13,2024-11-15,2285,6.8,Advanced Robotics,dataset_1
CL009477,AI09477,AI Research Scientist,332775,USD,EX,FT,Denmark,L,Denmark,50,"GCP, Spark, Java",Bachelor,13,Finance,2024-07-14,2024-09-02,619,8.9,Machine Intelligence Group,dataset_1
CL009478,AI09478,Head of AI,149414,USD,EX,CT,Japan,S,Japan,50,"Kubernetes, Statistics, Hadoop, Deep Learning, AWS",Master,16,Education,2024-01-26,2024-02-15,2031,8.9,DeepTech Ventures,dataset_1
CL009479,AI09479,AI Architect,170735,USD,SE,FT,Switzerland,L,Switzerland,100,"Spark, SQL, NLP, Python, Computer Vision",Bachelor,9,Energy,2024-03-27,2024-04-30,1183,6.4,DeepTech Ventures,dataset_1
CL009480,AI09480,Data Analyst,51131,USD,MI,FL,Finland,S,Australia,0,"Kubernetes, Hadoop, Git, Azure, Linux",PhD,3,Media,2024-05-02,2024-07-08,1932,9.1,DeepTech Ventures,dataset_1
CL009481,AI09481,Autonomous Systems Engineer,77363,USD,MI,FL,South Korea,M,South Korea,100,"Scala, Python, TensorFlow",Bachelor,3,Technology,2024-01-25,2024-02-16,645,9.3,Advanced Robotics,dataset_1
CL009482,AI09482,NLP Engineer,333893,USD,EX,CT,Denmark,L,Canada,100,"Linux, MLOps, Tableau, Python",Bachelor,10,Automotive,2024-12-14,2025-02-08,1698,8.2,Machine Intelligence Group,dataset_1
CL009483,AI09483,Head of AI,76598,EUR,MI,FL,Netherlands,M,Netherlands,50,"Git, Python, MLOps",PhD,3,Automotive,2024-01-21,2024-02-05,1867,9.5,TechCorp Inc,dataset_1
CL009484,AI09484,Machine Learning Engineer,184315,USD,SE,FT,Switzerland,S,Switzerland,50,"Tableau, Linux, Azure, Deep Learning, Scala",PhD,7,Finance,2024-04-20,2024-06-20,1417,6.0,Future Systems,dataset_1
CL009485,AI09485,ML Ops Engineer,102455,EUR,MI,FL,Germany,L,Germany,100,"MLOps, SQL, PyTorch",Bachelor,4,Consulting,2024-08-05,2024-10-03,529,9.1,DeepTech Ventures,dataset_1
CL009486,AI09486,Autonomous Systems Engineer,100732,USD,EN,FT,Denmark,M,Denmark,100,"Kubernetes, Java, Data Visualization",Bachelor,1,Media,2025-04-13,2025-05-29,1404,6.8,Algorithmic Solutions,dataset_1
CL009487,AI09487,Robotics Engineer,64533,USD,MI,CT,South Korea,M,South Korea,50,"Python, Deep Learning, TensorFlow, Data Visualization, Spark",Master,2,Education,2024-02-10,2024-03-01,665,9.0,Future Systems,dataset_1
CL009488,AI09488,Machine Learning Researcher,45189,USD,EN,FL,Ireland,M,Ireland,0,"Docker, Spark, NLP",Master,1,Automotive,2024-06-23,2024-08-25,1102,5.9,Autonomous Tech,dataset_1
CL009489,AI09489,NLP Engineer,146441,USD,EX,FT,Israel,S,Israel,50,"Spark, Deep Learning, Python, Docker, Git",Bachelor,16,Real Estate,2024-08-17,2024-10-18,2051,9.0,Digital Transformation LLC,dataset_1
CL009490,AI09490,Data Analyst,214788,EUR,EX,PT,Netherlands,M,Netherlands,100,"Docker, Azure, MLOps, Tableau, TensorFlow",Associate,17,Finance,2024-10-13,2024-11-10,1145,7.6,Algorithmic Solutions,dataset_1
CL009491,AI09491,ML Ops Engineer,62239,USD,MI,PT,Israel,S,Israel,100,"Hadoop, Scala, SQL, Azure",PhD,3,Gaming,2025-01-23,2025-03-18,2069,6.7,Smart Analytics,dataset_1
CL009492,AI09492,Machine Learning Researcher,62349,EUR,EN,PT,Germany,L,Germany,100,"SQL, Python, TensorFlow, AWS",Master,1,Technology,2024-10-19,2024-11-13,1083,7.0,TechCorp Inc,dataset_1
CL009493,AI09493,AI Product Manager,108777,EUR,MI,CT,Netherlands,L,Netherlands,100,"NLP, GCP, Python, Kubernetes, Hadoop",Master,4,Media,2024-12-15,2025-01-21,2463,9.7,Quantum Computing Inc,dataset_1
CL009494,AI09494,Machine Learning Engineer,124360,USD,EX,FT,India,M,Israel,100,"SQL, NLP, Mathematics",Bachelor,16,Healthcare,2024-07-06,2024-09-10,1706,5.7,TechCorp Inc,dataset_1
CL009495,AI09495,AI Specialist,119968,USD,MI,CT,Norway,M,Norway,100,"Hadoop, Scala, TensorFlow, Data Visualization",Bachelor,4,Manufacturing,2024-05-12,2024-06-11,1324,8.5,DeepTech Ventures,dataset_1
CL009496,AI09496,AI Software Engineer,116787,USD,MI,FT,Australia,L,Australia,50,"Deep Learning, Java, Scala, Statistics",Master,2,Transportation,2024-08-28,2024-11-05,2181,7.6,Neural Networks Co,dataset_1
CL009497,AI09497,AI Product Manager,36614,USD,EN,FL,Japan,M,Japan,0,"Hadoop, PyTorch, SQL",Bachelor,0,Government,2024-02-16,2024-04-05,830,5.6,Autonomous Tech,dataset_1
CL009498,AI09498,NLP Engineer,72544,USD,MI,CT,Sweden,S,Netherlands,0,"Azure, Data Visualization, Python",PhD,2,Retail,2024-01-05,2024-02-13,770,7.1,DataVision Ltd,dataset_1
CL009499,AI09499,AI Specialist,130158,USD,EN,FL,Switzerland,L,Japan,0,"Python, Linux, Statistics",Associate,1,Retail,2024-08-21,2024-10-16,614,7.1,Advanced Robotics,dataset_1
CL009500,AI09500,AI Specialist,100251,EUR,SE,PT,France,S,France,100,"R, Spark, Python",Master,7,Retail,2024-10-05,2024-10-28,1449,9.8,Future Systems,dataset_1
CL009501,AI09501,AI Consultant,136928,USD,EX,FT,Ireland,M,Israel,0,"Hadoop, Git, Deep Learning, Statistics, Python",PhD,14,Gaming,2024-04-29,2024-06-24,1157,7.8,Autonomous Tech,dataset_1
CL009502,AI09502,Principal Data Scientist,122742,USD,EX,CT,Sweden,S,Sweden,0,"Java, Linux, MLOps",PhD,13,Finance,2024-03-26,2024-05-20,2298,6.8,Cloud AI Solutions,dataset_1
CL009503,AI09503,AI Product Manager,71737,USD,EN,CT,United States,S,United States,50,"Mathematics, R, Hadoop",Associate,1,Manufacturing,2025-04-22,2025-05-15,1041,7.9,Neural Networks Co,dataset_1
CL009504,AI09504,Principal Data Scientist,228268,USD,EX,FT,Singapore,S,Singapore,50,"Git, Hadoop, Mathematics",PhD,14,Healthcare,2024-11-05,2024-11-26,1550,9.6,Cloud AI Solutions,dataset_1
CL009505,AI09505,Machine Learning Researcher,163485,USD,SE,FT,Denmark,S,Denmark,100,"Kubernetes, SQL, MLOps, Git, R",Associate,5,Government,2024-03-22,2024-04-16,1544,7.1,Quantum Computing Inc,dataset_1
CL009506,AI09506,Data Analyst,148386,USD,EX,CT,Canada,S,Japan,0,"Python, AWS, Data Visualization",Associate,14,Retail,2025-03-21,2025-05-28,1923,9.3,Cloud AI Solutions,dataset_1
CL009507,AI09507,AI Specialist,122532,USD,SE,PT,Sweden,M,Sweden,50,"Statistics, Git, Tableau, TensorFlow",Bachelor,8,Real Estate,2024-09-27,2024-10-14,1307,8.0,Algorithmic Solutions,dataset_1
CL009508,AI09508,Principal Data Scientist,192746,USD,EX,CT,Singapore,M,Singapore,100,"Mathematics, Hadoop, Deep Learning, Computer Vision",Associate,13,Education,2025-01-30,2025-04-11,2386,8.9,TechCorp Inc,dataset_1
CL009509,AI09509,AI Specialist,135276,USD,EX,FT,Israel,S,Israel,100,"MLOps, Deep Learning, Spark, NLP, R",PhD,16,Telecommunications,2024-10-21,2024-11-05,2043,9.6,TechCorp Inc,dataset_1
CL009510,AI09510,Robotics Engineer,149199,USD,EX,CT,Japan,L,Japan,0,"Python, TensorFlow, MLOps",Bachelor,11,Healthcare,2024-12-13,2025-01-29,1658,8.9,Digital Transformation LLC,dataset_1
CL009511,AI09511,AI Research Scientist,165978,USD,EX,FL,Austria,M,France,0,"Hadoop, Tableau, MLOps, Scala, SQL",PhD,17,Technology,2024-08-25,2024-09-15,2164,5.4,Predictive Systems,dataset_1
CL009512,AI09512,ML Ops Engineer,43711,USD,EN,FL,Austria,M,Austria,50,"Python, Tableau, SQL, Azure",Bachelor,1,Transportation,2024-10-26,2024-11-15,1079,7.1,Predictive Systems,dataset_1
CL009513,AI09513,Principal Data Scientist,74053,USD,EN,FT,Australia,M,China,0,"Spark, Statistics, Scala",Master,0,Gaming,2024-02-17,2024-04-19,1637,8.9,Quantum Computing Inc,dataset_1
CL009514,AI09514,Robotics Engineer,56815,USD,EN,FT,Austria,M,Austria,0,"Kubernetes, Git, Tableau, Computer Vision, Scala",Associate,1,Healthcare,2024-04-11,2024-05-01,2297,7.8,Quantum Computing Inc,dataset_1
CL009515,AI09515,Machine Learning Researcher,61807,USD,EN,PT,Sweden,M,Switzerland,50,"Python, Kubernetes, Linux, PyTorch",Master,0,Automotive,2025-04-15,2025-05-03,683,9.6,Cloud AI Solutions,dataset_1
CL009516,AI09516,AI Consultant,53359,USD,MI,FT,China,S,United States,50,"Spark, Git, TensorFlow",Master,3,Retail,2024-07-29,2024-08-17,1247,7.4,Predictive Systems,dataset_1
CL009517,AI09517,AI Software Engineer,65534,USD,EN,FL,China,L,China,50,"Data Visualization, Mathematics, Java, Computer Vision",PhD,0,Transportation,2025-04-16,2025-06-02,1965,9.6,Algorithmic Solutions,dataset_1
CL009518,AI09518,ML Ops Engineer,101197,USD,EN,FL,Norway,L,Norway,100,"Docker, TensorFlow, SQL, Java",Associate,0,Gaming,2024-04-11,2024-06-05,1387,6.6,Algorithmic Solutions,dataset_1
CL009519,AI09519,Research Scientist,80968,EUR,MI,PT,France,L,France,100,"Linux, Tableau, TensorFlow",Bachelor,4,Healthcare,2024-05-28,2024-06-30,1837,8.5,Smart Analytics,dataset_1
CL009520,AI09520,Machine Learning Researcher,304173,USD,EX,CT,Switzerland,M,Switzerland,100,"Data Visualization, Kubernetes, Mathematics, Java",Master,15,Education,2024-04-20,2024-06-30,1850,8.1,TechCorp Inc,dataset_1
CL009521,AI09521,AI Product Manager,227298,EUR,EX,CT,France,L,France,50,"Deep Learning, Computer Vision, NLP, Git",Master,17,Media,2024-12-08,2025-01-19,2308,8.9,Predictive Systems,dataset_1
CL009522,AI09522,Data Analyst,69760,USD,MI,FT,India,S,Switzerland,100,"Tableau, SQL, PyTorch, NLP",Associate,3,Education,2024-05-10,2024-06-17,1101,8.6,Cloud AI Solutions,dataset_1
CL009523,AI09523,AI Specialist,72801,USD,MI,CT,Austria,L,Austria,100,"PyTorch, Python, Git, Java, AWS",Bachelor,3,Retail,2024-07-23,2024-08-23,1813,7.9,Digital Transformation LLC,dataset_1
CL009524,AI09524,Data Analyst,89120,USD,MI,PT,United States,M,United States,0,"NLP, SQL, MLOps, Data Visualization",PhD,4,Manufacturing,2024-12-16,2025-01-19,1157,6.6,Neural Networks Co,dataset_1
CL009525,AI09525,Autonomous Systems Engineer,73940,USD,MI,CT,Finland,M,Finland,0,"SQL, Python, Java, R",Master,2,Gaming,2024-08-05,2024-10-17,1317,5.7,AI Innovations,dataset_1
CL009526,AI09526,Machine Learning Engineer,96714,USD,EN,FL,Denmark,L,Denmark,0,"Docker, Hadoop, NLP, GCP",Associate,0,Education,2024-04-06,2024-05-06,1000,6.7,Machine Intelligence Group,dataset_1
CL009527,AI09527,Machine Learning Researcher,147551,EUR,EX,FL,France,S,France,100,"Docker, Python, PyTorch, AWS",Bachelor,19,Manufacturing,2025-03-09,2025-03-26,2084,5.3,DataVision Ltd,dataset_1
CL009528,AI09528,Autonomous Systems Engineer,193299,USD,EX,FL,Switzerland,M,Switzerland,100,"Python, Hadoop, TensorFlow",Bachelor,10,Government,2024-06-04,2024-07-22,1137,7.4,Quantum Computing Inc,dataset_1
CL009529,AI09529,AI Research Scientist,57503,EUR,EN,PT,Germany,M,Germany,0,"Kubernetes, Mathematics, MLOps, Git, Computer Vision",PhD,0,Healthcare,2024-07-17,2024-08-25,866,8.3,Quantum Computing Inc,dataset_1
CL009530,AI09530,Research Scientist,130911,USD,EX,FT,Austria,S,Austria,100,"Python, Azure, Computer Vision",PhD,19,Telecommunications,2025-02-10,2025-03-22,1695,6.5,Autonomous Tech,dataset_1
CL009531,AI09531,AI Research Scientist,141763,USD,EX,CT,India,S,Austria,50,"GCP, Kubernetes, Computer Vision, Mathematics, Spark",Bachelor,15,Transportation,2024-06-03,2024-07-10,2091,6.0,Machine Intelligence Group,dataset_1
CL009532,AI09532,Data Analyst,66601,USD,SE,FL,Finland,S,Finland,0,"R, Spark, MLOps, Computer Vision",Master,9,Energy,2024-03-22,2024-04-22,1831,7.1,Neural Networks Co,dataset_1
CL009533,AI09533,Autonomous Systems Engineer,73566,USD,EN,PT,Switzerland,M,Norway,0,"Java, Hadoop, Kubernetes, Scala",PhD,0,Education,2024-06-13,2024-08-24,1857,9.1,Autonomous Tech,dataset_1
CL009534,AI09534,Computer Vision Engineer,86261,USD,SE,FT,Japan,L,Japan,100,"Spark, Docker, Git",Bachelor,7,Healthcare,2024-01-31,2024-02-15,838,7.1,DataVision Ltd,dataset_1
CL009535,AI09535,NLP Engineer,171896,USD,SE,PT,Norway,S,Norway,50,"Java, Mathematics, Computer Vision, Data Visualization, Python",Bachelor,8,Consulting,2024-08-04,2024-10-13,564,5.1,TechCorp Inc,dataset_1
CL009536,AI09536,AI Consultant,172293,USD,SE,FL,Sweden,L,Sweden,100,"PyTorch, Kubernetes, Docker",Master,7,Automotive,2024-08-22,2024-09-12,1735,5.6,Predictive Systems,dataset_1
CL009537,AI09537,Deep Learning Engineer,90533,EUR,MI,FL,France,M,Sweden,100,"Scala, Statistics, PyTorch, Git",Associate,4,Education,2024-06-28,2024-08-22,2186,7.1,Digital Transformation LLC,dataset_1
CL009538,AI09538,Machine Learning Engineer,157232,USD,EX,FT,Finland,S,Finland,50,"NLP, Java, Git, Python",Associate,12,Automotive,2025-02-23,2025-04-05,1217,7.1,DataVision Ltd,dataset_1
CL009539,AI09539,Data Analyst,101088,USD,MI,CT,Australia,M,Australia,0,"Python, Scala, Azure",PhD,4,Education,2024-09-26,2024-10-30,807,5.8,Quantum Computing Inc,dataset_1
CL009540,AI09540,Head of AI,133605,USD,SE,FT,Norway,M,Norway,100,"Deep Learning, GCP, PyTorch, Computer Vision, Hadoop",Associate,8,Healthcare,2024-06-08,2024-06-23,1035,5.3,Advanced Robotics,dataset_1
CL009541,AI09541,Computer Vision Engineer,67600,EUR,EN,PT,Germany,S,Germany,0,"GCP, Azure, Data Visualization, TensorFlow",PhD,0,Real Estate,2024-04-06,2024-05-18,963,5.4,Smart Analytics,dataset_1
CL009542,AI09542,AI Architect,98760,USD,MI,FT,Sweden,L,Japan,50,"Git, SQL, Linux, Scala, Statistics",Associate,4,Manufacturing,2024-07-04,2024-08-25,1192,5.2,DataVision Ltd,dataset_1
CL009543,AI09543,Data Scientist,264824,USD,EX,FT,Singapore,M,United States,0,"Git, SQL, Mathematics, Kubernetes",Master,11,Manufacturing,2024-06-28,2024-08-22,786,5.5,Advanced Robotics,dataset_1
CL009544,AI09544,Machine Learning Researcher,92246,USD,MI,FL,Sweden,L,Sweden,50,"Deep Learning, Docker, Python, Kubernetes",Associate,3,Transportation,2024-01-19,2024-02-28,877,6.7,Advanced Robotics,dataset_1
CL009545,AI09545,AI Research Scientist,153061,USD,SE,FL,Denmark,S,India,100,"R, Java, AWS",Associate,7,Finance,2025-04-23,2025-06-29,1431,7.8,Predictive Systems,dataset_1
CL009546,AI09546,AI Consultant,48044,USD,EN,FL,Israel,S,Israel,100,"SQL, Statistics, Spark, Mathematics",Master,1,Telecommunications,2024-06-16,2024-08-12,681,8.7,Neural Networks Co,dataset_1
